model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
iPS_Ctrl_abs_1	4165	6116	2248	0	1765	1717	97.2804532577904	649	334	51.4637904468413
iPS_Ctrl_abs_2	5827	10536	2248	92	1765	1701	96.3739376770538	649	430	66.2557781201849
iPS_Ctrl_abs_3	2986	3612	1580	0	1765	1748	99.0368271954674	649	213	32.8197226502311
iPS_Ctrl_abs_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_Ctrl_norm_t1_1	3761	5334	2248	0	1765	1282	72.6345609065156	649	265	40.8320493066256
iPS_Ctrl_norm_t1_2	5813	9896	2248	1203	1765	1061	60.1133144475921	649	387	59.6302003081664
iPS_Ctrl_norm_t1_3	2585	3027	1456	0	1765	1470	83.28611898017	649	182	28.0431432973806
iPS_Ctrl_norm_t1_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_Ctrl_norm_t2_1	4054	5833	2248	0	1765	1533	86.8555240793201	649	299	46.0708782742681
iPS_Ctrl_norm_t2_2	5825	10280	2248	309	1765	1445	81.8696883852691	649	409	63.020030816641
iPS_Ctrl_norm_t2_3	2865	3444	1504	0	1765	1674	94.8441926345609	649	205	31.5870570107858
iPS_Ctrl_norm_t2_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
