	Var1	Freq
214	HMR_3428	4
165	HMR_3128	3
1	2MB2COAc	2
8	ADRNCPT2	2
11	C101CPT1	2
12	C101CRNe	2
13	C102CPT1	2
16	C141CPT1	2
17	C142CPT1	2
20	C161CPT1	2
24	C16DCc	2
25	C16DCe	2
26	C180CPT1	2
33	C51CPT1	2
34	C81CPT1	2
35	C81CRNe	2
36	C8DCc	2
44	DECDICRNe	2
46	DMNONCRNCPT2	2
56	FAOXC101x	2
57	FAOXC102C101m	2
58	FAOXC102C103m	2
60	FAOXC102C81m	2
62	FAOXC102m	2
64	FAOXC103C102m	2
67	FAOXC123C102m	2
69	FAOXC123m	2
73	FAOXC140	2
74	FAOXC143C123m	2
77	FAOXC14DCC12DCx	2
84	FAOXC164C143m	2
86	FAOXC164C165m	2
89	FAOXC164m	2
91	FAOXC165C164m	2
94	FAOXC16DCC14DCx	2
95	FAOXC16DCr	2
105	FAOXC2251836m	2
110	FAOXC61m	2
113	FAOXC81C61m	2
119	HEXDIACtr	2
120	HEXDICOAACBP	2
121	HEXDICOAACBPx	2
133	HMR_0366	2
143	HMR_2702	2
157	HMR_3099	2
158	HMR_3100	2
159	HMR_3101	2
160	HMR_3115	2
164	HMR_3121	2
188	HMR_3230	2
189	HMR_3231	2
190	HMR_3232	2
191	HMR_3233	2
200	HMR_3322	2
206	HMR_3398	2
219	HMR_9719	2
232	r0308	2
239	r0660	2
265	RE1518X	2
267	RE1520X	2
268	RE1521M	2
269	RE1521X	2
270	RE1522X	2
272	RE1525X	2
273	RE1526M	2
274	RE1526X	2
276	RE1527X	2
278	RE1532X	2
279	RE1533M	2
280	RE1533X	2
282	RE1534X	2
283	RE1573M	2
284	RE1573X	2
299	RE3119C	2
300	RE3120C	2
301	RE3121C	2
302	RE3122C	2
306	sink_c101coa[c]	2
307	sink_c81coa[c]	2
309	sink_decdicoa[c]	2
310	sink_tetdec2coa[c]	2
311	sink_tetdece1coa[c]	2
312	STRDNCCPT1	2
313	SUBERCACT	2
314	SUBERCROT	2
315	TETDEC2CRNe	2
316	TETDECE1CRNe	2
317	TIGCRNe	2
318	TMNDNCCPT1	2
2	3HBCOARc	1
3	3OHSEBACx	1
4	3OHSEBCOAx	1
5	ACACT4p	1
6	ACACT5p	1
7	ACCOAC	1
9	BCRNe	1
10	C100CPT1	1
14	C10CRNe	1
15	C121CPT1	1
18	C14OHc	1
19	C160CPT1	1
21	C161CPT12	1
22	C161CRNt	1
23	C161OHc	1
27	C180CPT2	1
28	C181CPT1	1
29	C181CPT2	1
30	C182OHc	1
31	C226CRNt	1
32	C4OHc	1
37	CLPNDCPT1	1
38	CLPNDCPT2	1
39	CSNATr	1
40	DCIm	1
41	DCSPTN1CPT1	1
42	DCSPTN1CPT2	1
43	DDECE1CRNe	1
45	DLNLCGCPT2	1
47	DOCO13EFATP	1
48	DOCOSACTDr	1
49	EICOSTETCPT1	1
50	EICOSTETCPT2	1
51	ELAIDCPT1	1
52	FACOAL170	1
53	FACOAL80i	1
54	FAOXC101C102m	1
55	FAOXC101C102x	1
59	FAOXC102C103x	1
61	FAOXC102C81x	1
63	FAOXC102x	1
65	FAOXC103C102x	1
66	FAOXC11BRC9BRx	1
68	FAOXC123C102x	1
70	FAOXC123x	1
71	FAOXC12DCC10DCx	1
72	FAOXC13BRC11BRx	1
75	FAOXC143C123x	1
76	FAOXC14C14OHm	1
78	FAOXC160	1
79	FAOXC161802m	1
80	FAOXC161C161OHm	1
81	FAOXC163C164Gm	1
82	FAOXC163GC142m	1
83	FAOXC163Gm	1
85	FAOXC164C143x	1
87	FAOXC164C165x	1
88	FAOXC164GC163m	1
90	FAOXC164x	1
92	FAOXC165C164x	1
93	FAOXC16C14m	1
96	FAOXC182806m	1
97	FAOXC182C182OHm	1
98	FAOXC183806m	1
99	FAOXC18480m	1
100	FAOXC184C164m	1
101	FAOXC184C164x	1
102	FAOXC204	1
103	FAOXC204184m	1
104	FAOXC2051843x	1
106	FAOXC226	1
107	FAOXC5C5OHm	1
108	FAOXC5OHc	1
109	FAOXC61C4m	1
111	FAOXC61x	1
112	FAOXC80	1
114	FAOXC81C61x	1
115	FAOXTC182TC162m	1
116	FCOAH	1
117	HDECEACBP	1
118	HEDCECRNe	1
122	HIVCACBP	1
123	HIVCRNe	1
124	HMR_0197	1
125	HMR_0201	1
126	HMR_0206	1
127	HMR_0214	1
128	HMR_0280	1
129	HMR_0290	1
130	HMR_0342	1
131	HMR_0354	1
132	HMR_0362	1
134	HMR_0386	1
135	HMR_0406	1
136	HMR_0414	1
137	HMR_2608	1
138	HMR_2611	1
139	HMR_2675	1
140	HMR_2681	1
141	HMR_2684	1
142	HMR_2699	1
144	HMR_2705	1
145	HMR_2711	1
146	HMR_2733	1
147	HMR_2768	1
148	HMR_2771	1
149	HMR_2774	1
150	HMR_3068	1
151	HMR_3069	1
152	HMR_3070	1
153	HMR_3071	1
154	HMR_3072	1
155	HMR_3073	1
156	HMR_3098	1
161	HMR_3116	1
162	HMR_3117	1
163	HMR_3118	1
166	HMR_3135	1
167	HMR_3149	1
168	HMR_3170	1
169	HMR_3171	1
170	HMR_3172	1
171	HMR_3173	1
172	HMR_3174	1
173	HMR_3175	1
174	HMR_3176	1
175	HMR_3177	1
176	HMR_3196	1
177	HMR_3204	1
178	HMR_3205	1
179	HMR_3218	1
180	HMR_3219	1
181	HMR_3220	1
182	HMR_3221	1
183	HMR_3222	1
184	HMR_3223	1
185	HMR_3224	1
186	HMR_3225	1
187	HMR_3229	1
192	HMR_3234	1
193	HMR_3235	1
194	HMR_3236	1
195	HMR_3237	1
196	HMR_3240	1
197	HMR_3241	1
198	HMR_3242	1
199	HMR_3243	1
201	HMR_3338	1
202	HMR_3339	1
203	HMR_3344	1
204	HMR_3349	1
205	HMR_3352	1
207	HMR_3407	1
208	HMR_3422	1
209	HMR_3423	1
210	HMR_3424	1
211	HMR_3425	1
212	HMR_3426	1
213	HMR_3427	1
215	HMR_3429	1
216	HMR_3431	1
217	HMR_3505	1
218	HMR_3522	1
220	HOCTDEC2CRNe	1
221	HTDCACBP	1
222	HTDCRNe	1
223	LNELDCCPT1	1
224	LNLCCPT1	1
225	OCD11COACPT1	1
226	OCD11CRNCACT	1
227	OCD11CRNCPT2	1
228	OCTDEC2ACBP	1
229	PHYHx	1
230	PTDCACRNCPT1	1
231	PTDCACRNCPT2	1
233	r0309	1
234	r0310	1
235	r0444	1
236	r0633	1
237	r0638	1
238	r0652	1
240	r0661	1
241	r0723	1
242	r0727	1
243	r0728	1
244	r0729	1
245	r0735	1
246	r0791	1
247	r1253	1
248	r1254	1
249	r1255	1
250	r1257	1
251	r1260	1
252	r1262	1
253	r1445	1
254	r1447	1
255	r1448	1
256	r1450	1
257	r1451	1
258	r1472	1
259	r1474	1
260	r1477	1
261	r1487	1
262	RE0512X	1
263	RE1516X	1
264	RE1517X	1
266	RE1520M	1
271	RE1523X	1
275	RE1527M	1
277	RE1531X	1
281	RE1534M	1
285	RE2624M	1
286	RE2985X	1
287	RE2986X	1
288	RE2987X	1
289	RE2988X	1
290	RE2990X	1
291	RE2994X	1
292	RE2996X	1
293	RE2998M	1
294	RE3002X	1
295	RE3074X	1
296	RE3081X	1
297	RE3082X	1
298	RE3086X	1
303	RE3132R	1
304	RE3247M	1
305	RE3626M	1
308	sink_dd2coa[c]	1
319	TTDCPT2	1
