	subSystem	disrupted.module	rxnList
1	Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE16ly
2	Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE17ly
3	Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE18ly
4	Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE19ly
5	Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE20ly
6	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX23ly
7	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX24ly
8	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX25ly
9	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX26ly
10	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NAGA2ly
11	Keratan sulfate degradation	FVA_BD_NR_norm_t1	NAGLCAly
12	Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE22ly
13	Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE23ly
14	Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE24ly
15	Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE25ly
16	Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE26ly
17	Keratan sulfate degradation	FVA_BD_NR_norm_t1	SIAASE3ly
18	Keratan sulfate degradation	FVA_BD_NR_norm_t1	SIAASE4ly
19	Keratan sulfate degradation	MTA_BD_NR_abs	GALASE7ly
20	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX13ly
21	Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE15ly
22	Keratan sulfate degradation	MTA_BD_NR_abs	GALASE17ly
23	Keratan sulfate degradation	MTA_BD_NR_abs	GALASE18ly
24	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX24ly
25	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX25ly
26	Keratan sulfate degradation	MTA_BD_NR_abs	NAGA2ly
27	Keratan sulfate degradation	MTA_BD_NR_abs	GALASE12ly
28	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX18ly
29	Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE19ly
30	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX26ly
31	Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE26ly
32	Keratan sulfate degradation	MTA_BD_NR_abs	SIAASE4ly
33	Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE20ly
34	Keratan sulfate degradation	MTA_BD_NR_abs	GALASE10ly
35	Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX16ly
36	Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE18ly
37	Keratan sulfate degradation	MTA_BD_NR_norm_t2	NACHEX21ly
38	Keratan sulfate degradation	MTA_BD_NR_norm_t2	S6TASE21ly
39	Keratan sulfate degradation	MTA_BD_NR_norm_t2	ENGASE3ly
40	Keratan sulfate degradation	MTA_BD_NR_norm_t2	GASNASE3ly
41	Keratan sulfate degradation	MTA_BD_NR_norm_t2	SIAASE2ly
42	Keratan sulfate degradation	MTA_BD_NR_norm_t2	NACHEX22ly
43	Keratan sulfate degradation	MTA_BD_NR_norm_t2	GALASE19ly
44	Keratan sulfate degradation	MTA_BD_NR_norm_t2	NAGLCAly
