reactionIdentifier	lineWidth	color
r_DUTPDPm	3	#0000FF
r_URIDK2m	3	#0000FF
r_CYTK1	3	#0000FF
r_UMPK2	3	#0000FF
r_UMPK	3	#0000FF
r_UMPK6n	3	#0000FF
r_CYTK1n	3	#0000FF
r_CYTDK1	3	#0000FF
r_UMPK5n	3	#0000FF
r_CYTK13n	3	#0000FF
r_CYTK13	3	#0000FF
r_CYTK11	3	#0000FF
r_UMPK7	3	#0000FF
r_CYTK12	3	#0000FF
r_CYTK6	3	#0000FF
r_UMPK3	3	#0000FF
r_CYTK8n	3	#0000FF
r_UMPK5	3	#0000FF
r_CYTK6n	3	#0000FF
r_CYTK14n	3	#0000FF
r_CYTK14	3	#0000FF
r_CYTK7	3	#0000FF
r_CYTK2n	3	#0000FF
r_CYTK9n	3	#0000FF
r_C160CPT2	3	#0000FF
r_C60CPT1	3	#0000FF
r_FAOXC10C10OHm	3	#0000FF
r_FAOXC12C12OHm	3	#0000FF
r_FAOXC162C142m	3	#0000FF
r_FAOXC182806m	3	#0000FF
r_FAOXC182C162m	3	#0000FF
r_FAOXC204	3	#0000FF
r_HMR_3070	3	#0000FF
r_HMR_3071	3	#0000FF
r_HMR_3072	3	#0000FF
r_HMR_3073	3	#0000FF
r_HMR_3121	3	#0000FF
r_HMR_3128	3	#0000FF
r_HMR_3135	3	#0000FF
r_HMR_3142	3	#0000FF
r_HMR_3149	3	#0000FF
r_LNLCCPT2	3	#0000FF
r_RE0512M	3	#0000FF
r_RE1516M	3	#0000FF
r_RE1517M	3	#0000FF
r_RE1523M	3	#0000FF
r_RE1531M	3	#0000FF
r_RE2985M	3	#0000FF
r_r0309	3	#0000FF
r_r1253	3	#0000FF
r_r1254	3	#0000FF
r_C12DCACT	3	#0000FF
r_C4DCCACT	3	#0000FF
r_FACOAL1821	3	#0000FF
r_FACOAL1831	3	#0000FF
r_FACOAL204	3	#0000FF
r_FAOXC12DCTc	3	#0000FF
r_FAOXC12DCc	3	#0000FF
r_FAOXC12DCx	3	#0000FF
r_FAOXC164C143m	3	#0000FF
r_FAOXC164C165m	3	#0000FF
r_FAOXC164m	3	#0000FF
r_FAOXC165C164m	3	#0000FF
r_FAOXC18480m	3	#0000FF
r_FAOXC184C164m	3	#0000FF
r_FAOXC4C4DCc	3	#0000FF
r_HMR_3115	3	#0000FF
r_HMR_9719	3	#0000FF
r_LNLNCGCPT1	3	#0000FF
r_SUCCCROT	3	#0000FF
r_r0308	3	#0000FF
r_r1257	3	#0000FF
r_HMR_3338	3	#0000FF
r_HMR_3351	3	#0000FF
r_RE3177M	3	#0000FF
r_RE3178M	3	#0000FF
r_RE3179M	3	#0000FF
r_RE3185M	3	#0000FF
r_RE3186M	3	#0000FF
r_RE3189M	3	#0000FF
r_RE3190M	3	#0000FF
r_RE3192M	3	#0000FF
r_RE3193M	3	#0000FF
r_RE3194M	3	#0000FF
r_RE3195M	3	#0000FF
r_HMR_3522	3	#0000FF
r_FAOXC1811601m	3	#0000FF
r_FAOXC14C12m	3	#0000FF
r_FAOXC102C101m	3	#0000FF
r_FACOAL150	3	#0000FF
r_FAOXC2031836m	3	#0000FF
r_r1259	3	#0000FF
