	reactionIdentifier	lineWidth	color
1	r_C12DCACT	3	#FF0000
2	r_C30CPT1	3	#FF0000
3	r_C40CPT1	3	#FF0000
4	r_CSNATp	3	#FF0000
5	r_FAOXC12DCTc	3	#FF0000
6	r_FAOXC12DCc	3	#FF0000
7	r_FAOXC12DCx	3	#FF0000
8	r_FAOXC164C143m	3	#FF0000
9	r_FAOXC164C165m	3	#FF0000
10	r_FAOXC164m	3	#FF0000
11	r_FAOXC165C164m	3	#FF0000
12	r_FAOXC184C164m	3	#FF0000
13	r_HMR_9719	3	#FF0000
14	r_LNLNCGCPT1	3	#FF0000
15	r_r0636	3	#FF0000
16	r_r1401	3	#FF0000
17	r_C160CPT2	3	#FF0000
18	r_FAOXC18480m	3	#FF0000
19	r_HMR_2705	3	#FF0000
20	r_HMR_3218	3	#FF0000
21	r_HMR_3219	3	#FF0000
22	r_HMR_3220	3	#FF0000
23	r_HMR_3221	3	#FF0000
24	r_HMR_3422	3	#FF0000
25	r_ADRNCPT2	3	#FF0000
26	r_2MB2COAc	3	#FF0000
27	r_C51CPT1	3	#FF0000
28	r_TIGCRNe	3	#FF0000
29	r_C142ACBP	3	#FF0000
30	r_C142OHc	3	#FF0000
31	r_C142OHe	3	#FF0000
32	r_FAOXC142C142OHm	3	#FF0000
33	r_HMR_3204	3	#FF0000
34	r_C161OHc	3	#FF0000
35	r_FAOXC161C161OHm	3	#FF0000
36	r_HDECEACBP	3	#FF0000
37	r_HEDCECRNe	3	#FF0000
38	r_HMR_2771	3	#FF0000
39	r_HMR_3424	3	#FF0000
40	r_FAOXC11C9m	3	#FF0000
41	r_FAOXC13C11m	3	#FF0000
42	r_FAOXC15C13m	3	#FF0000
43	r_FAOXC5C3x	3	#FF0000
44	r_FAOXC7C5m	3	#FF0000
45	r_FAOXC9C7m	3	#FF0000
46	r_C141ACBP	3	#FF0000
47	r_C141OHc	3	#FF0000
48	r_C141OHe	3	#FF0000
49	r_FAOXC141C141OHm	3	#FF0000
50	r_HMR_3340	3	#FF0000
51	r_HMR_2739	3	#FF0000
52	r_HMR_3433	3	#FF0000
53	r_HMR_3057	3	#FF0000
54	r_HMR_3058	3	#FF0000
55	r_HMR_3065	3	#FF0000
56	r_HMR_3066	3	#FF0000
57	r_r1443	3	#FF0000
58	r_C16OHc	3	#FF0000
59	r_FAOXC16C16OHm	3	#FF0000
60	r_HDECAACBP	3	#FF0000
61	r_HEXDCRNe	3	#FF0000
62	r_C8DCc	3	#FF0000
63	r_SUBERCACT	3	#FF0000
64	r_SUBERCROT	3	#FF0000
65	r_PTDCACRNCPT1	3	#FF0000
66	r_sink_c81coa[c]	3	#FF0000
67	r_C81CPT1	3	#FF0000
68	r_C81CRNe	3	#FF0000
69	r_HMR_3067	3	#FF0000
70	r_C120CPT1	3	#FF0000
71	r_DDECCRNe	3	#FF0000
72	r_r1253	3	#FF0000
73	r_FAOXC1811603m	3	#FF0000
74	r_ACACT6p	3	#FF0000
75	r_r0719	3	#FF0000
76	r_r0721	3	#FF0000
77	r_r1444	3	#FF0000
78	r_FAOXC16C14m	3	#FF0000
79	r_C181OHc	3	#FF0000
80	r_FAOXC181C181OHm	3	#FF0000
81	r_HOCTDACBP	3	#FF0000
82	r_OCTDECCACT	3	#FF0000
83	r_OCTDECCPT1	3	#FF0000
84	r_OCTDECCPT2	3	#FF0000
85	r_OCTDECE1CRNe	3	#FF0000
86	r_sink_octdececoa[c]	3	#FF0000
87	r_DOCO13EFATP	3	#FF0000
88	r_3HBCOARc	3	#FF0000
89	r_BCRNe	3	#FF0000
90	r_C4OHc	3	#FF0000
91	r_HMR_3178	3	#FF0000
92	r_HMR_3179	3	#FF0000
93	r_HMR_3180	3	#FF0000
94	r_HMR_3181	3	#FF0000
95	r_C18OHc	3	#FF0000
96	r_FAOXC18C18OHm	3	#FF0000
97	r_HOCDACBP	3	#FF0000
98	r_HOCTDECCRNe	3	#FF0000
99	r_C162ACBP	3	#FF0000
100	r_C162OHc	3	#FF0000
101	r_C162OHe	3	#FF0000
102	r_FAOXC162C162OHm	3	#FF0000
103	r_HMR_3068	3	#FF0000
104	r_FAOXC2251836m	3	#FF0000
105	r_C100CPT1	3	#FF0000
106	r_C10CRNe	3	#FF0000
107	r_C141CPT1	3	#FF0000
108	r_sink_tetdece1coa[c]	3	#FF0000
109	r_TETDECE1CRNe	3	#FF0000
111	r_FAOXC182806m	3	#FF0000
112	r_EICOSTETCPT2	3	#FF0000
113	r_EICOSTETCPT1	3	#FF0000
114	r_HMR_0414	3	#FF0000
115	r_HMR_0342	3	#FF0000
116	r_FACOAL150	3	#FF0000
117	r_FACOAL245_1	3	#FF0000
118	r_r1259	3	#FF0000
119	r_HMR_2693	3	#FF0000
120	r_HMR_3414	3	#FF0000
121	r_HMR_3326	3	#FF0000
122	r_HMR_3327	3	#FF0000
123	r_HMR_3328	3	#FF0000
124	r_HMR_3342	3	#FF0000
125	r_HMR_3344	3	#FF0000
126	r_HMR_3346	3	#FF0000
127	r_HMR_3349	3	#FF0000
128	r_FAOXC121x	3	#FF0000
129	r_HMR_3353	3	#FF0000
