	subSystem	n.x	n.y	p.val	p.val.fdr
30	Purine catabolism	8	24	0.00457239286264005	0.0214902464544082
31	Pyrimidine catabolism	8	22	0.0024603987473484	0.0128487490139305
12	Glutamate metabolism	6	12	0.00126907856148732	0.00745583654873803
29	Propanoate metabolism	6	11	0.000704085333712377	0.0047274300977831
47	Vitamin B6 metabolism	6	10	0.000355208704436018	0.00278246818474881
16	Glycolysis/gluconeogenesis	12	27	2.03936598610469e-05	0.000191700402693841
3	Biotin metabolism	10	10	4.71518675907659e-10	5.540344441915e-09
20	Inositol phosphate metabolism	26	42	1.13542691164312e-14	1.77883549490756e-13
9	Fatty acid synthesis	92	191	3.88070514404632e-37	9.11965708850885e-36
4	Cholesterol metabolism	89	158	3.70647125849425e-43	1.7420414914923e-41
